id,typ,herkunft,modell,variante,hit@1,hit@3,hit@5,rang_erste_erwartete,rang_alle_erwarteten,rang_veraltet,rang_aktuell,veraltet_vor_aktuell,veraltet_in_top3,top1_score,top3_distinct_artikel,top3_woerter
10,mehrquellen,mensch_korrigiert,bge-m3,articles,0,1,1,1,3,4,5,1,0,0.5909,3,742
11,einfach,entwurf,bge-m3,articles,1,1,1,1,1,19,20,1,0,0.5958,3,695
12,einfach,entwurf,bge-m3,articles,1,1,1,1,1,18,19,1,0,0.5942,3,708
13,einfach,entwurf,bge-m3,articles,1,1,1,1,3,8,5,0,0,0.6912,3,716
14,einfach,entwurf,bge-m3,articles,1,1,1,1,1,16,20,1,0,0.5379,3,713
15,einfach,entwurf,bge-m3,articles,1,1,1,1,1,17,15,0,0,0.6512,3,714
16,einfach,entwurf,bge-m3,articles,1,1,1,1,1,8,9,1,0,0.635,3,711
17,mehrquellen,entwurf,bge-m3,articles,0,1,1,1,2,18,19,1,0,0.6295,3,684
18,einfach,entwurf,bge-m3,articles,1,1,1,1,1,7,5,0,0,0.676,3,753
19,mehrquellen,entwurf,bge-m3,articles,0,1,1,1,2,7,8,1,0,0.6424,3,753
20,aehnlich,entwurf,bge-m3,articles,1,1,1,1,1,4,5,1,0,0.6399,3,742
21,aehnlich,entwurf,bge-m3,articles,1,1,1,1,1,16,19,1,0,0.6155,3,707
22,aehnlich,entwurf,bge-m3,articles,0,1,1,2,2,10,18,1,0,0.6444,3,717
23,aehnlich,entwurf,bge-m3,articles,1,1,1,1,1,6,8,1,0,0.6182,3,734
24,luecke,entwurf,bge-m3,articles,,,,,,4,11,1,0,0.4774,3,715
25,luecke,entwurf,bge-m3,articles,,,,,,10,11,1,0,0.4585,3,719
26,veraltet,entwurf,bge-m3,articles,0,1,1,3,3,4,3,0,0,0.5795,3,751
27,mehrquellen,entwurf,bge-m3,articles,0,1,1,1,2,5,7,1,0,0.6115,3,719
1,einfach,mensch,bge-m3,contextual,1,1,1,1,1,31,58,1,0,0.62,1,306
2,veraltet,mensch,bge-m3,contextual,0,1,1,2,2,1,2,1,1,0.618,2,306
3,veraltet,mensch,bge-m3,contextual,0,0,1,5,5,1,5,1,1,0.6596,1,283
4,einfach,mensch,bge-m3,contextual,1,1,1,1,1,22,40,1,0,0.5393,3,210
5,einfach,mensch_korrigiert,bge-m3,contextual,1,1,1,1,5,2,5,1,1,0.6655,3,261
6,einfach,mensch,bge-m3,contextual,0,1,1,2,2,8,1,0,0,0.6258,3,236
7,luecke,mensch_korrigiert,bge-m3,contextual,,,,,,14,43,1,0,0.208,3,243
8,luecke,mensch_korrigiert,bge-m3,contextual,,,,,,58,56,0,0,0.5133,3,225
9,einfach,mensch_korrigiert,bge-m3,contextual,1,1,1,1,2,10,35,1,0,0.5704,3,272
10,mehrquellen,mensch_korrigiert,bge-m3,contextual,0,1,1,1,3,2,6,1,1,0.6478,3,324
